country,year,firearm_num,latitude,longitude
Albania,1992,28,41.153332,20.168331
Albania,1993,29,41.153332,20.168331
Albania,1994,28,41.153332,20.168331
Albania,1995,31,41.153332,20.168331
Albania,1996,36,41.153332,20.168331
Albania,1997,46,41.153332,20.168331
Albania,1998,52,41.153332,20.168331
Albania,1999,49,41.153332,20.168331
Albania,2000,43,41.153332,20.168331
Albania,2001,40,41.153332,20.168331
Albania,2002,40,41.153332,20.168331
Albania,2003,41,41.153332,20.168331
Albania,2004,40,41.153332,20.168331
Albania,2005,38,41.153332,20.168331
Albania,2006,35,41.153332,20.168331
Albania,2007,32,41.153332,20.168331
Albania,2008,31,41.153332,20.168331
Albania,2009,29,41.153332,20.168331
Albania,2010,27,41.153332,20.168331
Antigua and Barbuda,1990,0,17.060816,-61.796428
Antigua and Barbuda,1991,0,17.060816,-61.796428
Antigua and Barbuda,1992,0,17.060816,-61.796428
Antigua and Barbuda,1993,0,17.060816,-61.796428
Antigua and Barbuda,1994,0,17.060816,-61.796428
Antigua and Barbuda,1995,0,17.060816,-61.796428
Antigua and Barbuda,1998,0,17.060816,-61.796428
Antigua and Barbuda,1999,0,17.060816,-61.796428
Antigua and Barbuda,2000,0,17.060816,-61.796428
Antigua and Barbuda,2001,0,17.060816,-61.796428
Antigua and Barbuda,2002,0,17.060816,-61.796428
Antigua and Barbuda,2003,0,17.060816,-61.796428
Antigua and Barbuda,2004,0,17.060816,-61.796428
Antigua and Barbuda,2005,0,17.060816,-61.796428
Antigua and Barbuda,2006,0,17.060816,-61.796428
Antigua and Barbuda,2007,0,17.060816,-61.796428
Antigua and Barbuda,2008,0,17.060816,-61.796428
Antigua and Barbuda,2009,0,17.060816,-61.796428
Antigua and Barbuda,2012,0,17.060816,-61.796428
Antigua and Barbuda,2013,0,17.060816,-61.796428
Antigua and Barbuda,2014,0,17.060816,-61.796428
Antigua and Barbuda,2015,0,17.060816,-61.796428
Argentina,1990,1092,-38.416097,-63.616672
Argentina,1991,1142,-38.416097,-63.616672
Argentina,1992,1236,-38.416097,-63.616672
Argentina,1993,1284,-38.416097,-63.616672
Argentina,1994,1348,-38.416097,-63.616672
Argentina,1995,1413,-38.416097,-63.616672
Argentina,1996,1517,-38.416097,-63.616672
